Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
EVER,TSB,6,,10/29/1985 12:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,85006681,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,12,,11/26/1985 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,85007164,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,18,,12/17/1985 11:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,85007573,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,24,,1/21/1986 11:35,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86000369,,WMD,WMD,,,,,,,,,,0,,2,0,1,MON,3,,
EVER,TSB,30,,3/4/1986 11:50,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.022,0.022,,,,,mg/L,,,,86001023,,WMD,WMD,,,,,,,,,,0,,2,0,1,MON,3,,
EVER,TSB,35,,4/1/1986 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86001544,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,40,,4/29/1986 12:15,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.019,0.019,,,,,mg/L,,,,86002076,,WMD,WMD,,,,,,,,,,0,,1,0,0,MON,3,,
EVER,TSB,45,,5/27/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.053,0.053,,,,,mg/L,,,,86002773,,WMD,WMD,,,,,,,,,,0,,0,0,3,MON,3,,
EVER,TSB,53,,6/9/1986 12:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.013,0.013,,,,,mg/L,,,,86003048,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,61,,7/25/1986 12:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,86004264,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,69,,8/18/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.039,0.039,,,,,mg/L,,,,86004883,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,77,,9/15/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86005622,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,86,,10/27/1986 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.033,0.033,,,,,mg/L,,,,86006762,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,95,,11/19/1986 12:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,86007565,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,104,,12/30/1986 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,87000023,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,113,,1/26/1987 12:45,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,87000554,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,122,,2/9/1987 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,87000872,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,131,,3/9/1987 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.014,0.014,,,,,mg/L,,,,87001415,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,140,,4/6/1987 10:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,87002013,,WMD,WMD,,,,,,,,,,0,,2,0,1,MON,3,,
EVER,TSB,149,,5/18/1987 12:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.013,0.013,,,,,mg/L,,,,87003294,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,158,,6/15/1987 14:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.018,0.018,,,,,mg/L,,,,87004095,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,167,,7/27/1987 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.011,0.011,,,,,mg/L,,,,87005341,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,176,,8/24/1987 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,87006122,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,185,,9/21/1987 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,87006776,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,194,,10/19/1987 14:07,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.01,0.01,,,,,mg/L,,,,87007804,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,203,,11/16/1987 13:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,87008596,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,212,,12/14/1987 13:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,87009537,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,221,,1/11/1988 15:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,88000377,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,230,,2/16/1988 11:50,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.015,0.015,,,,,mg/L,,,,88001604,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,239,,3/7/1988 14:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.042,0.042,,,,,mg/L,,,,88002272,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,248,,4/4/1988 11:45,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.041,0.041,,,,,mg/L,,,,88003484,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,257,,5/2/1988 0:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.017,0.017,,,,,mg/L,,,,88004777,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,266,,6/14/1988 11:50,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,88006686,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,275,,7/11/1988 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.001,-0.001,,,,,mg/L,,,,88008308,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,284,,8/8/1988 12:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,88009726,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,293,,9/19/1988 13:45,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.008,0.008,,,,,mg/L,,,,88012219,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,302,,10/17/1988 13:25,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.038,0.038,,,,,mg/L,,,,88013715,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,311,,11/14/1988 13:15,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.013,0.013,,,,,mg/L,,,,88014764,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,320,,12/12/1988 13:35,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.018,0.018,,,,,mg/L,,,,88015873,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,329,,1/9/1989 13:55,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.079,0.079,,,,,mg/L,,,,89000470,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,338,,2/6/1989 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.08,0.08,,,,,mg/L,,,,89001538,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,347,,3/6/1989 11:25,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.133,0.133,,,,,mg/L,,,,89002522,,WMD,WMD,,,,,,,,,,0,,2,0,4,MON,3,,
EVER,TSB,356,,7/24/1989 15:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,89007450,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,374,,9/18/1989 13:45,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,89009732,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,383,,10/30/1989 9:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,89012118,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,390,,11/13/1989 14:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.015,0.015,,,,,mg/L,,,,89012712,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,397,,9/4/1990 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,90009397,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,406,,10/1/1990 12:08,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,90010907,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,415,,11/13/1990 11:54,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.001,0.001,,,,,mg/L,,,,90013487,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,422,,12/10/1990 13:31,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.025,0.025,,,,,mg/L,,,,90014566,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,436,,7/8/1991 13:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,91010692,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,445,,8/5/1991 10:59,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,91012331,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,457,,9/16/1991 11:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,91014537,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,470,,10/15/1991 10:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,91016055,,WMD,WMD,,,,,,,,,,0,,1,0,5,MON,3,,
EVER,TSB,481,,11/12/1991 14:01,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,91017272,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,492,,12/9/1991 13:38,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.027,0.027,,,,,mg/L,,,,91018125,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,503,,1/7/1992 0:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,92000482,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,512,,2/3/1992 13:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.01,0.01,,,,,mg/L,,,,92002233,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,519,,3/2/1992 13:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,92003501,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,527,,4/13/1992 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.012,0.012,,,,,mg/L,,,,92005482,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,538,,7/6/1992 12:18,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,92010302,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,7 DROPS HNO3 & H2SO4,
EVER,TSB,549,,8/3/1992 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,92012315,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,563,,8/28/1992 0:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,92013619,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,574,,9/17/1992 13:59,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,92014810,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,585,,9/28/1992 13:42,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,92015590,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,609,,11/9/1992 15:11,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L154-11,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,621,,12/7/1992 13:50,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L260-11,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,633,,1/5/1993 15:21,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,L358-11,,WMD,WMD,,,,,,,,,,0,,1,0,5,MON,3,,
EVER,TSB,645,,2/1/1993 13:55,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L470-11,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,659,,3/1/1993 15:56,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L600-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,669,,4/12/1993 14:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L776-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,685,,5/10/1993 13:56,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,L889-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,698,,6/7/1993 15:54,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L1001-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,711,,7/6/1993 14:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,L1105-13,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,721,,8/16/1993 14:08,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L1271-10,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,737,,9/28/1993 14:25,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.008,0.008,,,,,mg/L,,,,L1440-13,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,750,,10/12/1993 13:13,SAMP,UNK,0,,RA,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L1503-13,,WMD,WMD,,,,,,,,,,1,,1,0,0,MON,3,,
EVER,TSB,760,,11/8/1993 14:22,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,L1642-10,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,776,,12/6/1993 16:17,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L1758-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,789,,1/10/1994 15:37,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L1902-13,,WMD,WMD,,,,,,,,,,0,,1,0,6,MON,3,,
EVER,TSB,802,,2/7/1994 15:21,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.004,0.004,,,,,mg/L,,,,L2026-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,812,,3/7/1994 15:32,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,L2154-10,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,PH VALUE QUESTIONABLE FOR SAMPLES W,
EVER,TSB,828,,4/11/1994 14:17,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.01,0.01,,,,,mg/L,,,,L2328-13,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,841,,5/9/1994 15:19,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,L2493-13,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,854,,6/6/1994 14:48,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,L2625-13,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,864,,7/11/1994 13:47,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.011,0.011,,,,,mg/L,,,,L2808-10,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,PH VALUE QUESTIONABLE,
EVER,TSB,880,,8/9/1994 14:37,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,L2959-13,,WMD,WMD,,,,,,,,,,0,,1,0,6,MON,3,,
EVER,TSB,893,,9/12/1994 13:48,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,L3124-13,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,906,,10/3/1994 14:43,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L3256-13,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,916,,11/7/1994 15:16,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L3416-10,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,932,,12/12/1994 15:08,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L3574-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,945,,1/23/1995 14:54,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,L3744-13,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,947,,2/6/1995 7:25,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.02,0.02,,,,,mg/L,J3,yes,,,,PBSJ,WMD,,,,CA,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,971,,3/6/1995 15:14,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L3900-13,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,984,,4/3/1995 15:15,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.014,0.014,,,,,mg/L,,,,L4024-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,995,,5/1/1995 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,L4142-11,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,1018,,7/10/1995 14:58,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L4456-10,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,1034,,8/7/1995 14:10,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L4599-13,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,1047,,9/11/1995 15:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L4768-13,,WMD,WMD,,,,,,,,,,0,,1,0,5,MON,3,,
EVER,TSB,1052,,10/3/1995 9:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,L4892-5,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,1062,,11/7/1995 10:02,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5072-2,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,1082,,12/5/1995 15:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5200-8,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,"SAMPLE COLLECTED BY TRUCK, HYDROLAB READINGS COMPLETED LATER",
EVER,TSB,1101,,1/8/1996 17:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5341-13,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3,,
EVER,TSB,1103,,2/12/1996 11:25,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.011,0.011,,,,,mg/L,,,,L5504-2,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
